SA2,SA2 NAME,Earners,Median age,Sum,Median,Mean
114011282,Ulladulla," 8,467 ", 50 ," 375,335,931 "," 36,111 "," 44,329 "
114011283,Ulladulla Region," 2,838 ", 52 ," 125,831,088 "," 34,770 "," 44,338 "
114021284,Bowral," 8,085 ", 55 ," 576,143,456 "," 43,819 "," 71,261 "
114021285,Hill Top - Colo Vale," 3,668 ", 42 ," 210,797,589 "," 49,501 "," 57,469 "
114021286,Mittagong," 5,651 ", 47 ," 360,998,190 "," 45,585 "," 63,882 "
114021287,Moss Vale - Berrima," 5,715 ", 46 ," 321,412,260 "," 44,914 "," 56,240 "
114021288,Robertson - Fitzroy Falls," 2,247 ", 50 ," 157,136,713 "," 43,855 "," 69,932 "
114021289,Southern Highlands," 4,149 ", 53 ," 244,129,728 "," 40,387 "," 58,841 "
115011290,Baulkham Hills (East)," 14,375 ", 42 ," 978,337,605 "," 55,752 "," 68,058 "
115011291,Baulkham Hills (West) - Bella Vista," 13,654 ", 45 ," 1,028,561,284 "," 55,811 "," 75,330 "
115011294,Glenhaven," 4,270 ", 50 ," 391,055,261 "," 54,046 "," 91,582 "
115011296,West Pennant Hills," 8,893 ", 47 ," 771,143,123 "," 57,654 "," 86,713 "
115011553,Castle Hill - Central," 4,660 ", 43 ," 332,431,016 "," 53,187 "," 71,337 "
115011554,Castle Hill - East," 3,304 ", 50 ," 243,468,994 "," 48,308 "," 73,689 "
115011555,Castle Hill - North," 7,751 ", 47 ," 596,944,879 "," 54,829 "," 77,015 "
115011556,Castle Hill - South," 6,139 ", 44 ," 458,191,193 "," 55,092 "," 74,636 "
115011557,Castle Hill - West," 3,464 ", 45 ," 272,984,044 "," 58,446 "," 78,806 "
115011558,Cherrybrook," 12,457 ", 47 ," 909,780,720 "," 53,614 "," 73,034 "
115011559,Kellyville," 15,377 ", 43 ," 1,142,789,179 "," 58,654 "," 74,318 "
115021297,Dural - Kenthurst - Wisemans Ferry," 14,209 ", 47 ," 1,271,287,734 "," 52,694 "," 89,471 "
115021298,Galston - Laughtondale," 3,465 ", 49 ," 267,550,198 "," 50,765 "," 77,215 "
115031299,Bilpin - Colo - St Albans," 1,657 ", 48 ," 94,611,664 "," 45,616 "," 57,098 "
115031300,Kurrajong Heights - Ebenezer," 13,980 ", 45 ," 906,968,515 "," 53,574 "," 64,876 "
115041301,Pitt Town - McGraths Hill," 6,780 ", 43 ," 463,590,806 "," 55,196 "," 68,376 "
115041302,Rouse Hill - Beaumont Hills," 17,036 ", 41 ," 1,268,665,145 "," 60,899 "," 74,470 "
116011303,Blacktown (East) - Kings Park," 9,728 ", 35 ," 524,245,717 "," 48,936 "," 53,890 "
116011304,Blacktown (North) - Marayong," 10,537 ", 37 ," 569,215,738 "," 49,550 "," 54,021 "
116011306,Doonside - Woodcroft," 13,318 ", 39 ," 752,305,850 "," 51,997 "," 56,488 "
116011307,Lalor Park - Kings Langley," 14,110 ", 41 ," 857,001,012 "," 53,284 "," 60,737 "
116011308,Seven Hills - Toongabbie," 14,587 ", 39 ," 823,351,419 "," 50,738 "," 56,444 "
116011560,Blacktown (South)," 6,983 ", 38 ," 371,298,403 "," 48,727 "," 53,172 "
116011561,Blacktown (West)," 9,212 ", 38 ," 485,354,847 "," 48,239 "," 52,687 "
116021309,Glenwood," 9,758 ", 41 ," 651,023,851 "," 57,614 "," 66,717 "
116021310,Parklea - Kellyville Ridge," 18,337 ", 40 ," 1,338,895,657 "," 64,167 "," 73,016 "
116021312,Riverstone - Marsden Park," 17,101 ", 37 ," 1,138,983,271 "," 59,495 "," 66,603 "
116021562,Acacia Gardens," 2,348 ", 39 ," 155,607,942 "," 59,702 "," 66,273 "
116021563,Quakers Hill," 14,148 ", 39 ," 880,573,836 "," 56,157 "," 62,240 "
116031313,Bidwill - Hebersham - Emerton," 7,991 ", 37 ," 386,472,168 "," 46,128 "," 48,363 "
116031314,Glendenning - Dean Park," 4,703 ", 38 ," 266,189,817 "," 53,544 "," 56,600 "
116031315,Hassall Grove - Plumpton," 12,145 ", 39 ," 689,205,247 "," 53,373 "," 56,748 "
116031316,Lethbridge Park - Tregear," 9,323 ", 36 ," 499,851,120 "," 50,405 "," 53,615 "
116031317,Mount Druitt - Whalan," 10,614 ", 37 ," 520,555,917 "," 45,890 "," 49,044 "
116031318,Prospect Reservoir, 57 , 45 ," 8,411,564 "," 63,923 "," 147,571 "
116031319,Rooty Hill - Minchinbury," 12,410 ", 39 ," 704,682,849 "," 53,126 "," 56,783 "
117011320,Banksmeadow, 28 , 49 ," 1,714,360 "," 52,242 "," 61,227 "
117011321,Botany," 7,318 ", 40 ," 532,468,885 "," 62,872 "," 72,762 "
117011322,Mascot - Eastlakes," 16,765 ", 34 ," 978,421,499 "," 48,928 "," 58,361 "
117011323,Pagewood - Hillsdale - Daceyville," 6,907 ", 40 ," 432,620,556 "," 51,248 "," 62,635 "
117011324,Port Botany Industrial, 6 , 42 ," 499,635 "," 89,790 "," 83,273 "
117011325,Sydney Airport, 5 , 30 ," 253,128 "," 41,442 "," 50,626 "
117021326,Marrickville," 16,421 ", 37 ," 1,145,105,920 "," 57,870 "," 69,734 "
117021327,Petersham - Stanmore," 13,690 ", 37 ," 1,101,828,761 "," 63,734 "," 80,484 "
117021328,Sydenham - Tempe - St Peters," 5,520 ", 37 ," 397,001,596 "," 60,833 "," 71,921 "
117031329,Darlinghurst," 8,874 ", 35 ," 922,012,699 "," 66,641 "," 103,900 "
117031330,Erskineville - Alexandria," 13,144 ", 35 ," 1,167,367,172 "," 76,718 "," 88,814 "
117031331,Glebe - Forest Lodge," 13,414 ", 35 ," 1,166,806,632 "," 62,019 "," 86,984 "
117031332,Newtown - Camperdown - Darlington," 16,411 ", 34 ," 1,302,852,140 "," 62,752 "," 79,389 "
117031333,Potts Point - Woolloomooloo," 14,809 ", 36 ," 1,568,960,557 "," 68,290 "," 105,946 "
117031334,Pyrmont - Ultimo," 15,450 ", 33 ," 1,151,900,519 "," 45,835 "," 74,557 "
117031335,Redfern - Chippendale," 14,423 ", 33 ," 1,104,345,356 "," 55,237 "," 76,568 "
117031336,Surry Hills," 13,056 ", 34 ," 1,126,136,645 "," 62,761 "," 86,254 "
117031337,Sydney - Haymarket - The Rocks," 30,022 ", 30 ," 1,978,621,833 "," 25,962 "," 65,906 "
117031338,Waterloo - Beaconsfield," 22,120 ", 33 ," 1,589,252,893 "," 59,998 "," 71,847 "
118011339,Bondi - Tamarama - Bronte," 14,288 ", 36 ," 1,694,102,477 "," 65,794 "," 118,568 "
118011340,Bondi Beach - North Bondi," 16,014 ", 35 ," 1,644,653,747 "," 64,266 "," 102,701 "
118011341,Bondi Junction - Waverly," 13,166 ", 38 ," 1,262,391,766 "," 60,042 "," 95,883 "
118011342,Centennial Park, np , np , np , np , np 
118011343,Double Bay - Bellevue Hill," 18,432 ", 44 ," 3,251,465,439 "," 77,665 "," 176,403 "
118011344,Dover Heights," 7,536 ", 44 ," 868,947,096 "," 66,803 "," 115,306 "
118011345,Paddington - Moore Park," 11,268 ", 39 ," 1,546,353,810 "," 76,031 "," 137,234 "
118011346,Rose Bay - Vaucluse - Watsons Bay," 8,478 ", 48 ," 1,631,700,440 "," 74,788 "," 192,463 "
118011347,Woollahra," 5,532 ", 45 ," 908,384,603 "," 74,887 "," 164,205 "
118021348,Coogee - Clovelly," 18,016 ", 39 ," 1,919,301,143 "," 70,849 "," 106,533 "
118021350,Malabar - La Perouse - Chifley," 13,587 ", 44 ," 1,034,941,558 "," 56,955 "," 76,171 "
118021564,Kensington (NSW)," 7,669 ", 36 ," 584,182,094 "," 52,346 "," 76,174 "
118021565,Kingsford," 8,238 ", 38 ," 547,226,989 "," 48,607 "," 66,427 "
118021566,Maroubra - North," 6,641 ", 43 ," 619,631,386 "," 60,566 "," 93,304 "
118021567,Maroubra - South," 6,849 ", 39 ," 526,171,405 "," 57,146 "," 76,825 "
118021568,Maroubra - West," 6,526 ", 40 ," 477,818,290 "," 51,629 "," 73,218 "
118021569,Randwick - North," 11,657 ", 38 ," 1,139,410,124 "," 68,434 "," 97,745 "
118021570,Randwick - South," 8,772 ", 37 ," 744,074,545 "," 62,697 "," 84,824 "
119011354,Bass Hill - Georges Hall," 10,165 ", 41 ," 555,237,150 "," 42,331 "," 54,622 "
119011355,Chullora, 725 , 35 ," 45,712,579 "," 49,248 "," 63,052 "
119011356,Condell Park," 5,765 ", 40 ," 309,140,767 "," 43,605 "," 53,624 "
119011357,Greenacre - Mount Lewis," 11,900 ", 39 ," 594,987,448 "," 40,000 "," 49,999 "
119011358,Padstow," 9,986 ", 42 ," 587,091,009 "," 50,000 "," 58,791 "
119011359,Panania - Milperra - Picnic Point," 15,470 ", 43 ," 981,510,968 "," 53,227 "," 63,446 "
119011360,Revesby," 9,361 ", 41 ," 547,945,255 "," 50,738 "," 58,535 "
119011361,Yagoona - Birrong," 9,999 ", 39 ," 490,951,831 "," 41,602 "," 49,100 "
119011571,Bankstown - North," 8,054 ", 36 ," 379,564,022 "," 39,526 "," 47,127 "
119011572,Bankstown - South," 8,005 ", 37 ," 371,398,189 "," 39,700 "," 46,396 "
119021362,Belmore - Belfield," 10,582 ", 40 ," 555,884,073 "," 44,506 "," 52,531 "
119021363,Canterbury (South) - Campsie," 18,265 ", 36 ," 859,056,197 "," 39,420 "," 47,033 "
119021364,Kingsgrove (North) - Earlwood," 14,039 ", 44 ," 955,600,240 "," 53,318 "," 68,068 "
119021366,Punchbowl," 9,860 ", 37 ," 451,619,372 "," 38,130 "," 45,803 "
119021367,Roselands," 7,405 ", 42 ," 418,606,125 "," 46,234 "," 56,530 "
119021573,Lakemba," 8,100 ", 36 ," 337,596,599 "," 33,813 "," 41,679 "
119021574,Wiley Park," 4,963 ", 35 ," 218,268,448 "," 36,171 "," 43,979 "
119031368,Hurstville," 15,315 ", 35 ," 723,584,416 "," 37,493 "," 47,247 "
119031369,Mortdale - Penshurst," 15,610 ", 40 ," 988,676,590 "," 50,238 "," 63,336 "
119031370,Narwee - Beverly Hills," 8,079 ", 41 ," 438,603,349 "," 44,369 "," 54,289 "
119031371,Oatley - Hurstville Grove," 8,300 ", 46 ," 627,353,202 "," 54,020 "," 75,585 "
119031372,Peakhurst - Lugarno," 11,369 ", 45 ," 753,103,643 "," 51,431 "," 66,242 "
119031373,Riverwood," 6,109 ", 38 ," 295,868,205 "," 41,296 "," 48,432 "
119031374,South Hurstville - Blakehurst," 15,665 ", 41 ," 1,027,923,690 "," 45,236 "," 65,619 "
119041375,Arncliffe - Bardwell Valley," 15,478 ", 33 ," 891,965,092 "," 47,058 "," 57,628 "
119041376,Bexley," 15,779 ", 39 ," 875,401,874 "," 46,462 "," 55,479 "
119041377,Kingsgrove (South) - Bardwell Park," 7,817 ", 44 ," 503,154,441 "," 50,325 "," 64,367 "
119041378,Kogarah," 7,741 ", 36 ," 443,281,799 "," 49,006 "," 57,264 "
119041379,Kogarah Bay - Carlton - Allawah," 10,315 ", 39 ," 616,040,032 "," 47,878 "," 59,723 "
119041380,Monterey - Brighton-le-Sands - Kyeemagh," 8,491 ", 43 ," 552,115,120 "," 51,789 "," 65,024 "
119041381,Rockdale - Banksia," 13,472 ", 34 ," 700,957,862 "," 44,007 "," 52,031 "
119041382,Sans Souci - Ramsgate," 9,944 ", 46 ," 701,699,421 "," 53,874 "," 70,565 "
120011383,Concord - Mortlake - Cabarita," 14,636 ", 45 ," 1,260,927,588 "," 58,115 "," 86,152 "
120011384,Concord West - North Strathfield," 15,283 ", 35 ," 1,007,322,255 "," 51,301 "," 65,911 "
120011385,Drummoyne - Rodd Point," 12,070 ", 44 ," 1,181,259,068 "," 67,970 "," 97,867 "
120011386,Five Dock - Abbotsford," 13,018 ", 44 ," 1,140,863,213 "," 63,963 "," 87,637 "
120021387,Balmain," 11,418 ", 45 ," 1,478,989,654 "," 80,092 "," 129,531 "
120021388,Leichhardt - Annandale," 17,102 ", 41 ," 1,635,300,034 "," 71,693 "," 95,620 "
120021389,Lilyfield - Rozelle," 9,115 ", 42 ," 994,571,090 "," 78,738 "," 109,114 "
120031390,Ashfield," 16,299 ", 35 ," 967,342,095 "," 46,958 "," 59,350 "
120031391,Burwood - Croydon," 15,591 ", 36 ," 896,375,015 "," 40,529 "," 57,493 "
120031392,Canterbury (North) - Ashbury," 7,320 ", 39 ," 483,712,791 "," 52,095 "," 66,081 "
120031393,Croydon Park - Enfield," 10,340 ", 43 ," 642,530,306 "," 49,966 "," 62,140 "
120031394,Dulwich Hill - Lewisham," 11,280 ", 39 ," 852,095,338 "," 61,810 "," 75,540 "
120031395,Haberfield - Summer Hill," 8,805 ", 42 ," 792,710,603 "," 62,813 "," 90,030 "
120031396,Homebush," 12,379 ", 32 ," 674,451,853 "," 44,892 "," 54,484 "
120031575,Strathfield," 17,847 ", 34 ," 1,238,707,564 "," 43,894 "," 69,407 "
120031576,Strathfield South," 2,194 ", 41 ," 138,850,142 "," 50,000 "," 63,286 "
121011398,Chatswood (East) - Artarmon," 19,349 ", 39 ," 1,553,441,444 "," 52,102 "," 80,285 "
121011399,Chatswood (West) - Lane Cove North," 14,104 ", 39 ," 1,180,590,803 "," 61,762 "," 83,706 "
121011400,Lane Cove - Greenwich," 18,931 ", 43 ," 2,275,537,389 "," 71,987 "," 120,202 "
121011401,St Leonards - Naremburn," 7,871 ", 38 ," 800,006,052 "," 78,852 "," 101,640 "
121011402,Willoughby - Castle Cove - Northbridge," 17,174 ", 47 ," 2,308,963,908 "," 69,744 "," 134,445 "
121021403,Asquith - Mount Colah," 12,661 ", 44 ," 875,956,987 "," 56,391 "," 69,185 "
121021404,Berowra - Brooklyn - Cowan," 7,500 ", 46 ," 523,488,591 "," 55,293 "," 69,798 "
121021406,Normanhurst - Thornleigh - Westleigh," 11,653 ", 46 ," 874,582,852 "," 56,140 "," 75,052 "
121021577,Hornsby - East," 7,915 ", 37 ," 487,868,915 "," 52,311 "," 61,639 "
121021578,Hornsby - West," 6,656 ", 44 ," 445,718,095 "," 53,037 "," 66,965 "
121021579,Waitara - Wahroonga (West)," 6,866 ", 39 ," 479,333,538 "," 56,486 "," 69,813 "
121031407,Gordon - Killara," 14,711 ", 47 ," 1,546,946,734 "," 56,886 "," 105,156 "
121031408,Lindfield - Roseville," 16,147 ", 47 ," 1,920,734,636 "," 62,780 "," 118,953 "
121031409,Pymble," 11,084 ", 47 ," 1,226,166,650 "," 63,120 "," 110,625 "
121031410,St Ives," 13,822 ", 48 ," 1,325,237,435 "," 56,685 "," 95,879 "
121031411,Turramurra," 12,778 ", 49 ," 1,311,310,100 "," 58,831 "," 102,622 "
121031412,Wahroonga (East) - Warrawee," 12,117 ", 48 ," 1,362,011,355 "," 61,880 "," 112,405 "
121041413,Cremorne - Cammeray," 13,516 ", 44 ," 1,631,754,251 "," 76,802 "," 120,728 "
121041414,Crows Nest - Waverton," 13,722 ", 39 ," 1,380,960,769 "," 75,036 "," 100,638 "
121041415,Mosman," 20,612 ", 47 ," 3,438,231,259 "," 75,307 "," 166,807 "
121041416,Neutral Bay - Kirribilli," 13,209 ", 40 ," 1,523,585,143 "," 75,723 "," 115,344 "
121041417,North Sydney - Lavender Bay," 9,340 ", 39 ," 1,179,737,877 "," 76,404 "," 126,310 "
122011418,Balgowlah - Clontarf - Seaforth," 13,699 ", 46 ," 1,725,021,910 "," 65,740 "," 125,923 "
122011419,Manly - Fairlight," 17,163 ", 39 ," 2,141,300,301 "," 69,272 "," 124,763 "
122021420,Avalon - Palm Beach," 9,014 ", 51 ," 859,208,708 "," 52,008 "," 95,319 "
122021421,Bayview - Elanora Heights," 7,279 ", 50 ," 688,088,490 "," 55,412 "," 94,531 "
122021422,Newport - Bilgola," 9,550 ", 49 ," 871,780,234 "," 55,612 "," 91,286 "
122021423,Warriewood - Mona Vale," 16,387 ", 46 ," 1,240,033,139 "," 54,920 "," 75,672 "
122031424,Beacon Hill - Narraweena," 8,791 ", 45 ," 605,622,099 "," 51,481 "," 68,891 "
122031425,Cromer," 5,006 ", 46 ," 352,044,640 "," 52,326 "," 70,325 "
122031426,Dee Why - North Curl Curl," 17,948 ", 39 ," 1,325,736,385 "," 54,739 "," 73,865 "
122031427,Forestville - Killarney Heights," 8,021 ", 47 ," 684,025,302 "," 55,092 "," 85,279 "
122031428,Frenchs Forest - Belrose," 16,330 ", 47 ," 1,307,352,417 "," 54,199 "," 80,058 "
122031429,Freshwater - Brookvale," 15,039 ", 40 ," 1,409,311,268 "," 63,295 "," 93,710 "
122031430,Manly Vale - Allambie Heights," 10,867 ", 44 ," 929,044,877 "," 58,331 "," 85,492 "
122031431,Narrabeen - Collaroy," 16,841 ", 45 ," 1,366,582,230 "," 55,821 "," 81,146 "
122031432,Terrey Hills - Duffys Forest," 2,554 ", 48 ," 244,928,333 "," 58,581 "," 95,900 "
123011433,Camden - Ellis Lane," 7,692 ", 44 ," 528,722,480 "," 56,540 "," 68,737 "
123011434,Elderslie - Harrington Park," 13,585 ", 41 ," 955,362,267 "," 58,377 "," 70,325 "
123011435,Mount Annan - Currans Hill," 18,268 ", 39 ," 1,189,484,937 "," 59,204 "," 65,113 "
123021436,Bradbury - Wedderburn," 9,592 ", 38 ," 519,807,310 "," 50,360 "," 54,192 "
123021437,Campbelltown - Woodbine," 10,354 ", 38 ," 578,390,417 "," 50,491 "," 55,862 "
123021438,Claymore - Eagle Vale - Raby," 11,204 ", 39 ," 630,909,773 "," 52,579 "," 56,311 "
123021439,Holsworthy Military Area, np , np , np , np , np 
123021440,Ingleburn - Denham Court," 13,360 ", 39 ," 788,561,616 "," 51,902 "," 59,024 "
123021441,Leumeah - Minto Heights," 9,112 ", 41 ," 498,975,084 "," 50,922 "," 54,760 "
123021442,Macquarie Fields - Glenfield," 12,577 ", 39 ," 688,946,113 "," 50,619 "," 54,778 "
123021443,Minto - St Andrews," 11,290 ", 39 ," 607,516,815 "," 49,679 "," 53,810 "
123021444,Rosemeadow - Glen Alpine," 11,187 ", 41 ," 656,025,024 "," 51,741 "," 58,642 "
123031445,Bargo," 3,366 ", 43 ," 195,956,157 "," 50,500 "," 58,216 "
123031446,Douglas Park - Appin," 6,146 ", 42 ," 427,046,236 "," 58,954 "," 69,484 "
123031447,Picton - Tahmoor - Buxton," 9,767 ", 43 ," 602,416,646 "," 52,922 "," 61,679 "
123031448,The Oaks - Oakdale," 5,672 ", 44 ," 383,477,704 "," 53,064 "," 67,609 "
124011449,Blackheath - Megalong Valley," 3,179 ", 50 ," 165,947,844 "," 40,472 "," 52,201 "
124011450,Blaxland - Warrimoo - Lapstone," 11,836 ", 45 ," 829,486,453 "," 57,260 "," 70,082 "
124011451,Blue Mountains - North, 14 , 63 ," 266,995 "," 21,247 "," 19,071 "
124011452,Katoomba - Leura," 7,609 ", 48 ," 402,662,721 "," 39,936 "," 52,919 "
124011453,Lawson - Hazelbrook - Linden," 6,702 ", 46 ," 390,553,805 "," 49,583 "," 58,274 "
124011454,Springwood - Winmalee," 13,252 ", 46 ," 851,631,482 "," 54,054 "," 64,264 "
124011455,Wentworth Falls," 3,562 ", 51 ," 212,463,362 "," 45,052 "," 59,647 "
124021456,Blue Mountains - South, np , np , np , np , np 
124031457,Cambridge Park," 8,973 ", 39 ," 519,300,378 "," 54,309 "," 57,874 "
124031458,Castlereagh - Cranebrook," 15,541 ", 37 ," 998,051,732 "," 57,752 "," 64,221 "
124031459,Emu Plains - Leonay," 8,297 ", 43 ," 554,477,728 "," 58,185 "," 66,829 "
124031460,Glenmore Park - Regentville," 13,063 ", 41 ," 882,862,469 "," 59,769 "," 67,585 "
124031461,Jamisontown - South Penrith," 9,778 ", 40 ," 582,700,399 "," 54,809 "," 59,593 "
124031462,Kingswood - Werrington," 11,088 ", 37 ," 640,197,739 "," 52,523 "," 57,738 "
124031463,Mulgoa - Luddenham - Orchard Hills," 6,473 ", 41 ," 478,295,339 "," 59,439 "," 73,891 "
124031464,Penrith," 7,914 ", 37 ," 451,522,947 "," 51,094 "," 57,054 "
124031465,Warragamba - Silverdale," 3,311 ", 42 ," 212,052,733 "," 56,372 "," 64,045 "
124041466,Richmond - Clarendon," 7,842 ", 43 ," 450,513,336 "," 50,222 "," 57,449 "
124041467,Windsor - Bligh Park," 8,820 ", 39 ," 535,004,149 "," 53,376 "," 60,658 "
124041468,Yarramundi - Londonderry," 4,010 ", 43 ," 247,255,762 "," 50,768 "," 61,660 "
124051469,Erskine Park," 4,274 ", 41 ," 264,257,740 "," 55,032 "," 61,829 "
124051470,St Clair," 11,981 ", 40 ," 708,058,932 "," 54,765 "," 59,098 "
124051580,Colyton - Oxley Park," 6,328 ", 38 ," 341,959,185 "," 51,597 "," 54,039 "
124051581,St Marys - North St Marys," 8,278 ", 38 ," 439,288,235 "," 49,972 "," 53,067 "
125011473,Homebush Bay - Silverwater," 13,139 ", 35 ," 861,428,624 "," 55,386 "," 65,563 "
125011475,Rookwood Cemetery, np , np , np , np , np 
125011582,Auburn - Central," 9,930 ", 32 ," 388,919,851 "," 31,200 "," 39,166 "
125011583,Auburn - North," 6,964 ", 31 ," 260,743,822 "," 31,333 "," 37,442 "
125011584,Auburn - South," 4,146 ", 38 ," 188,092,844 "," 36,869 "," 45,367 "
125011585,Berala," 4,954 ", 38 ," 227,698,140 "," 39,730 "," 45,962 "
125011586,Lidcombe," 12,985 ", 35 ," 622,911,403 "," 37,483 "," 47,972 "
125011587,Regents Park," 2,780 ", 39 ," 131,066,654 "," 39,962 "," 47,146 "
125021476,Carlingford," 17,825 ", 44 ," 1,092,302,725 "," 45,657 "," 61,279 "
125021477,Ermington - Rydalmere," 13,090 ", 40 ," 787,338,591 "," 50,164 "," 60,148 "
125021478,Oatlands - Dundas Valley," 10,385 ", 42 ," 644,018,852 "," 47,957 "," 62,014 "
125031479,Chester Hill - Sefton," 8,852 ", 40 ," 428,714,880 "," 41,000 "," 48,431 "
125031480,Fairfield - East," 6,569 ", 38 ," 299,560,541 "," 40,306 "," 45,602 "
125031481,Granville - Clyde," 12,376 ", 33 ," 565,901,179 "," 37,648 "," 45,726 "
125031482,Greystanes - Pemulwuy," 14,719 ", 41 ," 916,776,995 "," 54,098 "," 62,285 "
125031483,Guildford - South Granville," 8,789 ", 36 ," 403,310,846 "," 37,582 "," 45,888 "
125031484,Guildford West - Merrylands West," 10,284 ", 37 ," 516,804,293 "," 43,918 "," 50,253 "
125031485,Merrylands - Holroyd," 15,408 ", 36 ," 795,536,004 "," 43,408 "," 51,631 "
125031486,Smithfield Industrial, 58 , 46 ," 4,639,018 "," 56,241 "," 79,983 "
125031487,Yennora Industrial, 23 , 48 ," 1,061,345 "," 35,507 "," 46,145 "
125041489,North Parramatta," 13,612 ", 36 ," 844,533,798 "," 54,200 "," 62,043 "
125041490,North Rocks," 4,976 ", 46 ," 340,406,246 "," 51,994 "," 68,410 "
125041491,Northmead," 12,508 ", 36 ," 822,198,175 "," 58,126 "," 65,734 "
125041492,Parramatta - Rosehill," 21,174 ", 33 ," 1,198,324,305 "," 49,234 "," 56,594 "
125041493,Toongabbie - Constitution Hill," 13,056 ", 41 ," 775,949,499 "," 51,479 "," 59,432 "
125041494,Winston Hills," 6,570 ", 44 ," 452,653,777 "," 57,537 "," 68,897 "
125041588,Pendle Hill - Girraween," 7,481 ", 38 ," 452,383,827 "," 52,232 "," 60,471 "
125041589,Wentworthville - Westmead," 10,489 ", 36 ," 628,990,420 "," 51,479 "," 59,967 "
126011495,Epping - North Epping," 19,261 ", 42 ," 1,327,795,064 "," 49,508 "," 68,937 "
126011496,Pennant Hills - Cheltenham," 13,829 ", 47 ," 1,155,996,595 "," 58,753 "," 83,592 "
126021497,Eastwood - Denistone," 16,205 ", 42 ," 1,014,038,987 "," 44,789 "," 62,576 "
126021498,Gladesville - Huntleys Point," 9,411 ", 44 ," 875,075,474 "," 64,031 "," 92,984 "
126021499,Hunters Hill - Woolwich," 6,315 ", 49 ," 943,924,815 "," 71,619 "," 149,473 "
126021500,Macquarie Park - Marsfield," 13,219 ", 37 ," 814,317,185 "," 50,747 "," 61,602 "
126021501,North Ryde - East Ryde," 8,614 ", 42 ," 637,639,682 "," 55,781 "," 74,024 "
126021503,West Ryde - Meadowbank," 12,776 ", 37 ," 818,317,582 "," 53,812 "," 64,051 "
126021590,Putney," 2,795 ", 48 ," 282,514,053 "," 60,194 "," 101,078 "
126021591,Ryde," 18,269 ", 38 ," 1,209,327,980 "," 52,654 "," 66,196 "
127011504,Ashcroft - Busby - Miller," 6,285 ", 36 ," 284,705,331 "," 41,984 "," 45,299 "
127011505,Austral - Greendale," 4,850 ", 43 ," 279,839,636 "," 45,326 "," 57,699 "
127011506,Cobbitty - Leppington," 15,746 ", 36 ," 1,036,314,091 "," 58,819 "," 65,814 "
127011592,Badgerys Creek, 13 , 42 ," 556,656 "," 37,252 "," 42,820 "
127011593,Cecil Hills," 4,038 ", 43 ," 252,780,821 "," 52,404 "," 62,601 "
127011594,Green Valley," 6,539 ", 40 ," 344,534,797 "," 47,898 "," 52,689 "
127011595,Hinchinbrook," 6,700 ", 39 ," 371,262,115 "," 49,855 "," 55,412 "
127011596,Hoxton Park - Carnes Hill - Horningsea Park," 6,387 ", 39 ," 377,122,358 "," 53,771 "," 59,045 "
127011597,West Hoxton - Middleton Grange," 8,626 ", 38 ," 541,151,713 "," 55,327 "," 62,735 "
127021509,Bonnyrigg Heights - Bonnyrigg," 7,927 ", 39 ," 412,801,153 "," 46,683 "," 52,075 "
127021510,Bossley Park - Abbotsbury," 9,823 ", 43 ," 572,395,627 "," 49,592 "," 58,271 "
127021511,Cabramatta - Lansvale," 11,409 ", 40 ," 512,141,597 "," 39,294 "," 44,889 "
127021512,Cabramatta West - Mount Pritchard," 8,153 ", 39 ," 396,971,873 "," 42,833 "," 48,690 "
127021513,Canley Vale - Canley Heights," 10,092 ", 39 ," 471,390,485 "," 41,014 "," 46,709 "
127021514,Edensor Park," 5,179 ", 41 ," 286,208,859 "," 47,508 "," 55,263 "
127021515,Fairfield," 6,641 ", 39 ," 306,947,367 "," 40,624 "," 46,220 "
127021516,Fairfield - West," 8,438 ", 39 ," 396,686,993 "," 40,648 "," 47,012 "
127021517,Greenfield Park - Prairiewood," 3,932 ", 41 ," 208,240,391 "," 46,550 "," 52,960 "
127021518,Horsley Park - Kemps Creek," 2,728 ", 45 ," 198,379,810 "," 52,510 "," 72,720 "
127021519,Smithfield - Wetherill Park," 8,514 ", 41 ," 447,274,712 "," 46,230 "," 52,534 "
127021520,St Johns Park - Wakeley," 5,504 ", 41 ," 281,299,794 "," 44,310 "," 51,108 "
127021521,Wetherill Park Industrial, 93 , 41 ," 8,929,157 "," 60,141 "," 96,012 "
127031522,Casula," 8,266 ", 41 ," 472,304,582 "," 49,968 "," 57,138 "
127031523,Chipping Norton - Moorebank," 11,097 ", 41 ," 689,136,041 "," 53,405 "," 62,101 "
127031524,Holsworthy - Wattle Grove," 12,324 ", 40 ," 826,021,029 "," 60,003 "," 67,025 "
127031598,Liverpool," 12,111 ", 37 ," 611,722,172 "," 45,268 "," 50,510 "
127031599,Lurnea - Cartwright," 4,470 ", 38 ," 211,431,213 "," 43,145 "," 47,300 "
127031600,Prestons - Edmondson Park," 11,773 ", 39 ," 722,214,336 "," 55,364 "," 61,345 "
127031601,Warwick Farm," 2,663 ", 35 ," 135,535,856 "," 46,521 "," 50,896 "
128011529,Gymea - Grays Point," 11,285 ", 45 ," 857,349,887 "," 58,482 "," 75,973 "
128011530,Miranda - Yowie Bay," 11,356 ", 44 ," 799,474,813 "," 54,019 "," 70,401 "
128011531,Sylvania - Taren Point," 9,894 ", 48 ," 732,003,234 "," 50,991 "," 73,985 "
128011602,Caringbah," 7,364 ", 41 ," 514,316,238 "," 57,954 "," 69,842 "
